Gene,d0_Old,d0_Y,d1_Old,d1_Y,d3_Old,d3_Y,d5_Old,d5_Y,d7_Old,d7_Y
ENSMUSG00000072844,0.1954991786,-0.2106886112,2.0607724129,-0.1501490413,-1.1887299058,-1.1892753073,1.0226005996,-0.6226031171,0.4793806752,-0.4228684593
ENSMUSG00000110393,-0.458269221,-1.0986171798,2.0255046797,0.172376496,-0.5941006062,-0.5617598001,-0.7687409586,0.8612356638,-0.6135050898,0.7642275823
ENSMUSG00000073067,-0.8551422759,0.4079711029,2.0195295516,-0.7680310084,-0.8551422759,-0.8551422759,0.3644154691,-0.7970680982,0.2773042016,0.3608591378
ENSMUSG00000086839,-0.6825816187,-0.6422886103,1.9831239935,1.071542193,0.9508057137,-0.0850287012,-0.9037180117,-0.0825579035,-0.87834482,-0.0410087041
ENSMUSG00000105656,-0.5066480797,-0.5066480797,1.971521875,-0.5066480797,-0.5066480797,-0.5066480797,-0.5066480797,-0.2312958619,1.8063105447,-0.249378953
ENSMUSG00000096655,-1.031342029,-0.7357720933,1.9480029229,-0.203746209,-0.5111389421,-0.0855182347,-1.031342029,-0.2116280741,1.4041542412,1.0933974349
ENSMUSG00000102374,-0.6861370395,-0.3426596181,1.9144777229,-0.2690573135,-1.0786826641,-0.6861370395,-0.9805462579,0.9494697296,1.0803182708,-0.5212876628
ENSMUSG00000107041,0.7217167366,0.1266116446,1.911926921,1.246988068,-0.8935685133,-0.930003519,-1.0757435415,-0.2498834136,-0.4563484456,2.8460498942
ENSMUSG00000092103,-0.474341649,-0.474341649,1.8973665961,-0.474341649,-0.474341649,-0.474341649,-0.474341649,-0.474341649,1.8973665961,-0.6440999184
ENSMUSG00000102526,-1.0546100367,-0.1168768856,1.8809024365,-0.8507550039,-1.0546100367,-0.2391899053,-0.2391899053,1.5003730424,-0.1576478921,-0.3939192986
ENSMUSG00000106237,-0.6801213807,-0.1716194138,1.8306070807,-0.6801213807,-0.6801213807,-0.552995889,-0.6801213807,-0.6801213807,1.5763560973,2.7737083377
ENSMUSG00000106662,0.2298885417,-0.0903044217,1.7558081323,-0.3079355764,-0.6006119569,-0.5505818063,1.8158443129,-0.4805395957,-0.8857838149,-0.3892952731
ENSMUSG00000096999,-0.3105943834,-0.636789399,1.7033052743,-0.7644309267,-0.7644309267,-0.4807830869,1.448022219,-0.5375126559,-0.7644309267,0.4175015701
ENSMUSG00000094732,-0.6864307154,-0.6864307154,1.6730383255,-0.4635919726,1.2535771627,1.3759200017,-0.6864307154,-0.4067899403,-0.6864307154,-0.5521420275
ENSMUSG00000055972,-1.163317067,1.0242126153,1.6636443686,-1.0286998558,0.048237834,-0.8043378366,0.3174722564,-0.7594654333,-0.4229224053,0.7791278778
ENSMUSG00000101942,-0.942818046,-0.3844848455,1.6421181714,1.3832989909,-0.6237705029,-0.8581727795,-1.0535080101,-0.4349464466,0.8803107723,-0.6849246093
ENSMUSG00000102615,-1.1090952011,-0.0203584914,1.6260238502,1.5463601885,0.8028326794,-0.4363798356,-0.6842223388,-0.3832707278,-1.1090952011,2.8187218396
