ENSGID	Gene	d0_A_Rep1	d0_A_Rep2	d0_A_Rep4	d0_Y_Rep2	d0_Y_Rep3	d0_Y_Rep4	d0_Y_Rep5	d0_Y_Rep6	d1_A_Rep1	d1_A_Rep2	d1_Y_Rep1	d1_Y_Rep2	d1_Y_Rep4	d3_A_Rep1	d3_A_Rep2	d3_A_Rep3	d3_A_Rep4	d3_Y_Rep1	d3_Y_Rep2	d3_Y_Rep3	d5_A_Rep1	d5_A_Rep2	d5_Y_Rep1	d5_Y_Rep2	d5_Y_Rep3	d7_A_Rep1	d7_A_Rep2	d7_A_Rep4	d7_Y_Rep1	d7_Y_Rep2	d7_Y_Rep3	d21_A_Rep1	d21_A_Rep2	d21_Y_Rep2	d21_Y_Rep3
ENSMUSG00000021109	Hif1a	17.1237252380751	25.1613379050821	26.9101812751748	88.8995560669982	36.9611419746622	94.2255745318994	70.1276810745167	57.520895463438	81.4515437026318	84.4927797578349	30.2794359861211	36.7291145635469	28.8819855613049	74.3567036063095	71.1331891704095	54.8722095016348	69.6017514933517	92.2884656186431	91.5393386510694	68.6926516769579	134.778118725052	139.603952005666	74.0681957806615	67.4862012772984	71.448539395515	98.1351028227287	97.297855449976	46.6728199614823	55.0828113412868	53.667547514131	87.9688389005048	39.5040920226661	37.4489797266052	28.859395299943	48.781819633836
ENSMUSG00000031239	Itm2a	354.783032331183	277.379539205994	444.026336733048	791.362017879418	621.699895052623	483.551344501752	443.067114142351	506.679323146273	198.604892049711	246.779122842766	439.172258341654	398.181676739867	416.870753506574	398.574177600403	255.502726713915	318.218887464042	277.335080865385	469.375983333932	452.983732608934	261.13820789952	172.666345546028	167.080159023888	3029.00886658835	2794.4335583288	1908.33368306827	3266.07062553811	3157.92115946543	1453.25378958808	2820.47082795471	1345.20439949297	1901.80008551622	1075.64939749001	733.616713358114	1370.86079015821	1393.71715903811
ENSMUSG00000052684	Jun	551.289615008348	652.432216569557	936.732470700871	252.98798891335	1025.65253702772	613.529588777766	557.828491823544	947.418064455532	321.092223127139	334.32099946977	797.730896733954	820.399640922753	797.129747467735	420.12413219119	451.368585482817	228.926343027161	215.965464560301	275.739298733124	267.348672649697	375.321623281682	632.792836757032	645.398377969806	266.091022786977	255.519338866548	180.391681836468	311.008589828401	317.714998247802	342.341356624853	356.259071616169	400.676025836368	260.850746155006	660.598754704575	739.634946818541	272.646561610817	208.779233595167
ENSMUSG00000052837	Junb	2334.52834039461	2026.97148764469	3273.95082123381	1108.63362452633	3799.13432791722	2143.23306120057	1516.01515576597	4829.75476484499	1103.29354440348	1389.98713402437	2657.57133190328	2865.01739125007	2767.28718540065	1296.95360685713	1163.43379292255	702.591251117653	597.725039320248	799.010991304772	826.652890922836	748.006026963266	1825.15467014124	2020.82976586504	854.721459825948	902.623139308537	559.445820264163	1261.42939601775	1247.73814024012	1638.08015896663	1075.72130118815	1350.05244853683	560.408276998077	2528.01201150697	2709.67934448741	2931.01691968243	3307.29677144739
ENSMUSG00000071076	Jund	884.208406327339	781.484245332781	743.378368260079	303.028314258144	935.988223058045	567.010525231069	1193.61194433543	1011.74569392925	365.96815276971	432.171499192111	1410.11560392217	1154.66957271163	1496.44260691866	21.6583639554771	169.093474252249	94.6183202116371	73.9325679857852	16.3978224605552	16.3091367038429	132.930647153138	312.421720644253	345.863035163492	34.3906183238537	36.5185452751435	151.596311890891	370.4268626086	355.868137977676	335.086761840311	270.896595560173	290.226567163508	208.302713611406	903.492398969747	878.89105601122	1243.44544046563	3070.82643113471
ENSMUSG00000030557	Mef2a	46.9612786493321	46.9999110437452	41.2573463009736	98.9009254026958	59.5971500537146	70.0308792829482	92.0776448776024	56.3349502456693	39.6728378043751	39.0276581332816	65.7320218641064	61.5256553500722	65.2333312293798	79.741824293528	97.1467007046394	98.5491984799612	114.941308959252	140.40903414891	136.396658598352	156.547815077742	83.8628404508712	82.2550768671203	119.763862277375	109.017549071214	188.763565202182	112.87339213585	106.59947681418	90.6721540915218	108.256028780323	113.038501758467	161.047502156819	70.8746533481673	69.3971356559807	18.7537380876523	19.2611161058493
ENSMUSG00000005583	Mef2c	46.0711644532548	26.6796194499015	36.1639439994865	33.8511178419593	12.5919202265448	22.80616619679	16.8114161924688	16.9503166731704	43.1743981115207	38.97035526038	25.6813358438603	23.805987913425	18.9147134905981	14.2604854670737	13.6486348257008	11.4848892364262	20.8334570848672	29.5643032712975	31.8334758864371	15.9690829672072	33.7779551475852	32.4382625399683	53.7454964035129	53.8216358186873	48.2577975841163	59.9597999556102	59.1644859120203	22.8855542516306	65.3958779036734	62.670094028194	82.3611648520976	34.013085022886	41.329437567477	13.8076221490508	12.0741678256331
ENSMUSG00000035158	Mitf	6.6544666131113	4.00902935563351	3.11804554675736	7.23558473209039	2.17094160973937	3.92365056597667	3.40884447275513	5.03669604660585	2.31747784626516	1.3491104603115	1.87335518914049	2.08951494719056	1.69988495270142	0.294201540187075	0.771562639287308	1.31826638966678	1.09293237646656	0.351534631125562	0.313567704659827	0.480074200902273	1.70720534112564	2.11571003508481	0.989003855691331	1.34074907228262	1.90801046017221	0.702659934383937	0.92643561080663	3.06157440491886	1.78122672144651	1.52334687714583	0.610053449917628	7.63017088795517	8.20002595749809	1.25081218475976	1.27148702044833
ENSMUSG00000000435	Myf5	62.9696245071652	66.512378012385	91.5462130902717	89.1204044305184	88.9034418273081	60.8628893937133	61.3353018252253	100.50226504556	87.5802481382122	59.9609812538943	90.4780784182618	74.5754371387708	81.2236348258713	33.6614240406653	32.7230004943422	32.0193045678997	21.089828565657	43.0857724258268	41.5152458210861	34.6740964965389	6.25124575747682	5.69491939576864	178.810782878488	153.013390018893	150.168595220506	55.0698108914544	53.7275190093838	83.1380730845806	94.2601864103382	47.0589236532204	37.8164320104704	148.811928206782	120.309502763719	159.179797788442	286.893509529984
ENSMUSG00000009471	Myod1	135.54111928269	140.844975026414	209.95570892887	234.740473849192	534.844369159152	283.322223310198	264.813256181409	764.001652463987	522.53585209902	621.526765687688	508.195132702415	493.193471528074	533.180574451287	424.819972049145	519.273375131366	350.97123495265	358.880839949832	465.270395497091	449.591757936939	594.001601196721	18.3883602192921	15.9273387554475	224.965999007214	209.828236120837	205.989008062518	231.042707324233	236.756521372878	199.703263116204	398.592385256836	214.650778907839	100.716754138438	210.87746189986	284.165168021283	89.3354932104446	126.745010162816
ENSMUSG00000026459	Myog	75.9577835102221	41.9196155627132	105.736943963265	84.5275529842661	345.889250795543	170.546563739011	117.105860049319	132.334322069242	43.6920347579987	34.5407813111081	133.774684314309	87.3787578312514	143.145669075651	992.584218051631	519.187995446806	335.228505416583	448.63163043406	2256.75993267899	1915.30393995949	1007.18694370913	0.890321763554077	0.912430153357907	3476.9625746695	2751.46801011189	1252.0352633217	910.891732908024	932.256019730514	638.0743155357	1055.72160973812	606.385894514254	815.430129717503	306.611400165743	286.603590029672	109.835574837624	127.707189340307
ENSMUSG00000038255	Neurod2	-0.000493001664079287	-0.00125592071527598	0.00077554013091938	-0.000611630298390871	-0.000840964200786847	-0.00079649964921382	0.00187856189568728	0.000440100067706728	7.52704400793575e-05	7.91004517988253e-05	0.00032943056035198	0.000242062334875392	0.000291897655061613	-0.000380033398248635	-0.00098572414826353	0.000324650616331331	0.00015282115216722	-0.000417640418521125	-0.000423226502357519	0.0189706730354173	6.40341865739466e-05	1.37809915113903e-05	-0.000171858459142878	-0.000168818919668814	-0.000671039254970191	0.000439149120272502	0.000409015542836133	0.000605503564365325	8.32928469657583e-05	0.000507290229732487	9.60628277012445e-06	0.0208655557782863	0.000972671934858697	-0.000209641943189353	-0.000104023353618318
