Family	Motif	Day	RNA_fc_young_over_aged	RNA_mean	HOMER_pval_young_over_aged
bZIP	jun	3	-0.10433385371377989	319.25630284656745	-0.0
bZIP	jun	5	-1.4495190420497055	396.0386516433662	-0.0
bZIP	jun	7	0.0677943388627985	331.4751313847665	20.0
MADS	mef2a	0	0.7420823039851322	64.02001073208515	40.0
MADS	mef2a	1	0.7053839239800395	54.238300876243024	-100.0
MADS	mef2a	3	0.5657063152900522	117.67607718034067	-0.0
MADS	mef2a	5	0.7447614181434297	116.7325787737525	-0.0
MADS	mef2a	7	0.3019208374015117	115.41450928952679	-0.0
MADS	mef2c	0	-0.817367125726103	26.49070812919701	60.0
MADS	mef2c	1	-0.8490916389864824	30.109358123956827	-0.0
MADS	mef2c	3	0.7763316857260096	19.656332677001384	-0.0
MADS	mef2c	5	0.6497070516008816	44.408229498774	-0.0
MADS	mef2c	7	0.5673298671203892	58.73949615053768	10.0
bHLH	mitf	0	-0.07698261098905215	4.444657367833697	-630.0
bHLH	mitf	1	0.04210334885909716	1.8658686791218257	-0.0
bHLH	mitf	3	-1.1872201762641308	0.6603056403279121	-0.0
bHLH	mitf	5	-0.4363327275209956	1.6121357528713223	-0.0
bHLH	mitf	7	-0.26091912529284644	1.4342161664365658	-620.0
bHLH	myf5	0	0.12141386238640005	77.71906476651839	10.0
bHLH	myf5	1	0.15420211782232032	78.76367595500207	40.0
bHLH	myf5	3	0.41239773410765573	34.10981034457371	-0.0
bHLH	myf5	5	4.749429522411429	98.7877866542265	40.0
bHLH	myf5	7	-0.0995692357745546	61.84515750990797	30.0
bHLH	myod1	0	1.360769299679499	321.00797227523896	-0.0
bHLH	myod1	1	-0.16129483353545263	535.7263592936968	40.0
bHLH	myod1	3	0.28258841212093483	451.8298823876777	-0.0
bHLH	myod1	5	3.6379332740299475	135.0197884330617	30.0
bHLH	myod1	7	0.09706986120614915	230.24373501940474	20.0
bHLH	myog	0	1.1901692963457906	134.25223658419768	10.0
bHLH	myog	1	1.6343151723501532	88.50638545806365	30.0
bHLH	myog	3	1.5888893153677068	1067.8404522423841	-0.0
bHLH	myog	5	11.43374902504291	1496.4537200040004	60.0
bHLH	myog	7	-0.0021438892999784374	826.4599503573526	20.0
