"","d0_Old_Rep1","d0_Old_Rep2","d0_Old_Rep3","d0_Old_Rep4","d0_Y_Rep4","d1_Old_Rep1","d1_Old_Rep2","d1_Y_Rep1","d1_Y_Rep2","d3_Old_Rep1","d3_Old_Rep2","d3_Old_Rep3","d3_Old_Rep4","d3_Y_Rep1","d3_Y_Rep2","d3_Y_Rep3","d3_Y_Rep4","d5_Old_Rep1","d5_Old_Rep2","d5_Old_Rep3","d5_Old_Rep4","d5_Y_Rep1","d5_Y_Rep2","d5_Y_Rep3","d7_Old_Rep1","d7_Old_Rep2","d7_Y_Rep1"
"d3_Old_Rep2",0.796396609992031,0.783145546057004,0.796394568663911,0.619760860394258,0.73227730106163,0.725814876981457,0.782751812626264,0.740644214283646,0.771073810068264,0.944806127557492,1,0.944269252497787,0.994872179430343,0.904131590039862,0.912811995491531,0.904134042893637,0.912812213612833,0.880599420136803,0.881753441585799,0.880578753058119,0.881732497682102,0.839067214010551,0.850321251984696,0.839086958263933,0.820338554003818,0.835992305251871,0.798727070425136
"d3_Old_Rep3",0.78273347961909,0.761418171426233,0.782731089347011,0.611065842907074,0.743189368147278,0.744309918272254,0.762591869100129,0.776873450375271,0.697706206060552,0.954535701889809,0.944269252497787,1,0.944989486361415,0.906214919269385,0.878080898431353,0.906217474251243,0.878081175290501,0.876636735078369,0.869799641444725,0.876615753484036,0.869778404041268,0.840417925685732,0.818670674752476,0.840437869273186,0.828755246628565,0.799959536123205,0.801814188929551
"d3_Old_Rep4",0.798413932230463,0.78495270755288,0.798411218969895,0.621605168030523,0.734886162710272,0.727647702497287,0.784655116158109,0.743119850800829,0.773184089095513,0.944749520015915,0.994872179430343,0.944989486361415,1,0.905034952751161,0.913494897456633,0.90503790113609,0.913495174196996,0.882081957473362,0.883246203619946,0.882059998385247,0.883224061807992,0.841206693458422,0.852218321181032,0.841227453757099,0.82197696065742,0.837174565189733,0.800813538616553
"d3_Y_Rep1",0.745676954049331,0.692386338736651,0.745683010586319,0.618252731344891,0.826389517468543,0.693420954669878,0.739162918636523,0.782844901257088,0.780552314310963,0.906753183495696,0.904131590039862,0.906214919269385,0.905034952751161,1,0.866593725502554,0.999994961679661,0.866593197358609,0.832431107482641,0.834346164280721,0.832427306963267,0.834340847339821,0.894871917668553,0.8718948725632,0.894878305490682,0.818280699196341,0.818099362587702,0.841910564830917
"d3_Y_Rep2",0.757139696435865,0.783651248854246,0.757139527389505,0.569632945308364,0.758123104840899,0.65421078852861,0.701452805180126,0.797046895599028,0.766224599936001,0.87803859713458,0.912811995491531,0.878080898431353,0.913494897456633,0.866593725502554,1,0.866594757871855,0.999999928118936,0.82818704261851,0.818258301832376,0.828170757906489,0.818241404197613,0.8670636358934,0.889797630036335,0.867079902973012,0.802590367232837,0.791223682246941,0.844493515329933
"d3_Y_Rep3",0.745687436455445,0.692393783681465,0.745680353109691,0.618260711186477,0.826395794055618,0.693405804579017,0.739161394580141,0.782845163741862,0.780552585167902,0.906754380422384,0.904134042893637,0.906217474251243,0.90503790113609,0.999994961679661,0.866594757871855,1,0.866595433239201,0.832438841221464,0.834352198207738,0.832409413646218,0.834323105012745,0.894854556114904,0.871888771995875,0.894881079857526,0.818286948913879,0.818106356900641,0.841915643002216
"d3_Y_Rep4",0.757140897545119,0.78365199699247,0.757139159122934,0.569633928361553,0.758123886257325,0.65420897792897,0.70145261189014,0.797046859360971,0.766224591003304,0.878038713209415,0.912812213612833,0.878081175290501,0.913495174196996,0.866593197358609,0.999999928118936,0.866595433239201,1,0.828187906373871,0.818258976479077,0.828168560869435,0.818239239103071,0.867061523728674,0.889796814354257,0.867080195763076,0.802591078988802,0.79122449628703,0.84449406448251
"d5_Old_Rep1",0.812165258524221,0.793006657551887,0.812157161772878,0.636362006674384,0.759196846305287,0.74682536132885,0.788644318081449,0.776518615484969,0.751469313083214,0.875624758532805,0.880599420136803,0.876636735078369,0.882081957473362,0.832431107482641,0.82818704261851,0.832438841221464,0.828187906373871,1,0.996547865587338,0.999967412084993,0.99651584930728,0.946362998649146,0.939109835180726,0.946391962608828,0.851922748298053,0.846337711318786,0.823768944327846
"d5_Old_Rep2",0.813457220752133,0.791216921238362,0.813451337459981,0.620999885771649,0.761521048779948,0.762300019509137,0.792527058400906,0.759284293646952,0.760935459121339,0.869171484173803,0.881753441585799,0.869799641444725,0.883246203619946,0.834346164280721,0.818258301832376,0.834352198207738,0.818258976479077,0.996547865587338,1,0.99651955198316,0.99997194913692,0.941858380691412,0.934163279675046,0.941883998731276,0.836075720877951,0.844704662233567,0.830480813190681
"d5_Old_Rep3",0.812127806005677,0.792978095181084,0.812153127043943,0.636333670022078,0.759168360729314,0.746854262610806,0.788637464617328,0.776506366824543,0.751457023974501,0.875607206889153,0.880578753058119,0.876615753484036,0.882059998385247,0.832427306963267,0.828170757906489,0.832409413646218,0.828168560869435,0.999967412084993,0.99651955198316,1,0.996548004491675,0.946392848181688,0.939111574428195,0.946370601559544,0.85189448994142,0.846307560445726,0.823743028061512
