"","d0_Old_R1","d0_Old_R3","d0_Old_R4","d0_Y_R5","d0_Y_R6","d0_Y_R7","d0_Y_R8","d1_Old_R1","d1_Old_R2","d1_Y_R3","d1_Y_R4","d1_Y_R5","d1_Y_R6","d3_Old_R1","d3_Old_R2","d3_Y_R1","d3_Y_R2","d3_Y_R3","d5_Old_R1","d5_Old_R2","d5_Y_R1","d5_Y_R2","d5_Y_R3","d7_Old_R1","d7_Old_R2","d7_Y_R1","d7_Y_R2"
"d1_Y_R4",0.957258275814184,0.951793375751623,0.95305854203431,0.968351201244783,0.926387938810451,0.967498144193643,0.954046637570508,0.973099915122334,0.974411682968087,0.980754068892872,1,0.979849510602839,0.981690796769134,0.963323968366823,0.963323968366823,0.967758864409025,0.966229523469603,0.95887605349814,0.970747211296258,0.969552638736289,0.978229901567673,0.973481687072639,0.980365210807573,0.969963977699203,0.971554994090226,0.96615670987882,0.963586900455676
"d1_Y_R5",0.950562314314157,0.952927658462829,0.953929195341434,0.966196206884299,0.933772124781615,0.948601516985974,0.945954741251808,0.953551135198783,0.954666507626308,0.977782601853251,0.979849510602839,1,0.976113714644533,0.956302028484583,0.956302028484583,0.960599716484087,0.960093578554013,0.954556324664197,0.968730335594038,0.970192862541654,0.966778692138483,0.97079470513132,0.972699583999051,0.966219096547002,0.966168919605316,0.958337320184122,0.950683279170743
"d1_Y_R6",0.956012838848657,0.94932847266716,0.956043770852573,0.966583939044617,0.925081173976972,0.967966470424405,0.958302404423108,0.973602459650277,0.974302832458982,0.987802857377141,0.981690796769134,0.976113714644533,1,0.957959982881183,0.957959982881183,0.966673125597642,0.966009127639906,0.95463331598138,0.96598328780218,0.966200286366221,0.975186378844093,0.97530642353997,0.977834854548227,0.967084298467442,0.968377198710572,0.969570586200846,0.959324012300443
"d3_Old_R1",0.938062893275066,0.942451511417618,0.940018031554259,0.95000835043421,0.918135078477586,0.949293114435791,0.924751219422865,0.96375094189576,0.963206300994055,0.958821479277855,0.963323968366823,0.956302028484583,0.957959982881183,1,1,0.986456274124442,0.987218732290193,0.977928762876879,0.965212902429284,0.967613589719714,0.960158689254948,0.96005439924575,0.966156271243724,0.957337471371862,0.957856104370159,0.949251692487772,0.947740763899152
"d3_Old_R2",0.938062893275066,0.942451511417618,0.940018031554259,0.95000835043421,0.918135078477586,0.949293114435791,0.924751219422865,0.96375094189576,0.963206300994055,0.958821479277855,0.963323968366823,0.956302028484583,0.957959982881183,1,1,0.986456274124442,0.987218732290193,0.977928762876879,0.965212902429284,0.967613589719714,0.960158689254948,0.96005439924575,0.966156271243724,0.957337471371862,0.957856104370159,0.949251692487772,0.947740763899152
"d3_Y_R1",0.935477220762364,0.935130275736485,0.934688142202301,0.953536011280767,0.911265862938872,0.954138872498686,0.936805337664835,0.951970330186931,0.95267052006548,0.967519756165475,0.967758864409025,0.960599716484087,0.966673125597642,0.986456274124442,0.986456274124442,1,0.987218006226783,0.978342045414345,0.958822207672631,0.960126661309171,0.96898715845765,0.968596869813324,0.971937935161777,0.954957053054286,0.955781085688433,0.954640037768579,0.947895195849729
"d3_Y_R2",0.932857974664872,0.933364951233392,0.931925180406117,0.953110907083879,0.910569245493341,0.954076401484611,0.935291343381367,0.949621749247761,0.95008690817166,0.966611526474782,0.966229523469603,0.960093578554013,0.966009127639906,0.987218732290193,0.987218732290193,0.987218006226783,1,0.978585935008867,0.956383837812252,0.958373177686961,0.966814324363462,0.966781307150484,0.97064129200108,0.95349188440296,0.954142191877227,0.953038716260523,0.946671973355772
"d3_Y_R3",0.928985479809586,0.933854959280362,0.929697027710336,0.950067762533648,0.910824560392131,0.944650434459162,0.924340739505225,0.949871684716584,0.95032011480445,0.955713195968236,0.95887605349814,0.954556324664197,0.95463331598138,0.977928762876879,0.977928762876879,0.978342045414345,0.978585935008867,1,0.955816084426333,0.958148698785213,0.957913270732082,0.959442455811276,0.963011246873476,0.950570929385406,0.950913807443373,0.945466908847652,0.94054654957794
"d5_Old_R1",0.965761823356437,0.960831883601657,0.964549857547175,0.966221057204967,0.936764137878077,0.955386028507402,0.946278369069564,0.964498371949276,0.966810186732748,0.965535293958,0.970747211296258,0.968730335594038,0.96598328780218,0.965212902429284,0.965212902429284,0.958822207672631,0.956383837812252,0.955816084426333,1,0.990027015599216,0.98397578992591,0.98408615564952,0.989490535657241,0.971813433852947,0.973773235581576,0.96304155112442,0.957387120511078
"d5_Old_R2",0.963550765050293,0.959388518881147,0.962329636359788,0.965461312667815,0.937317185306314,0.954051557170158,0.943913466844954,0.963783139540153,0.965904867053872,0.965919838715913,0.969552638736289,0.970192862541654,0.966200286366221,0.967613589719714,0.967613589719714,0.960126661309171,0.958373177686961,0.958148698785213,0.990027015599216,1,0.984100363817484,0.983101390266241,0.989026933361784,0.972010297709088,0.973881908593277,0.962366409043851,0.956815871403683
"d5_Y_R1",0.958644415375252,0.951909694762658,0.957504197866752,0.967810904083355,0.925840516378045,0.966093067831867,0.956908740878718,0.960279550906394,0.963408537992868,0.974880254815899,0.978229901567673,0.966778692138483,0.975186378844093,0.960158689254948,0.960158689254948,0.96898715845765,0.966814324363462,0.957913270732082,0.98397578992591,0.984100363817484,1,0.988078667888615,0.994340194214216,0.970331611655168,0.972383287019542,0.965954832780911,0.965991304655779
"d5_Y_R2",0.955120880023162,0.94860980966089,0.949953334481137,0.966895004856976,0.922709910613916,0.964039864253023,0.950490790509744,0.954980040755235,0.957954951280652,0.974510183755836,0.973481687072639,0.97079470513132,0.97530642353997,0.96005439924575,0.96005439924575,0.968596869813324,0.966781307150484,0.959442455811276,0.98408615564952,0.983101390266241,0.988078667888615,1,0.994781717410323,0.969160758919654,0.971401565344255,0.961317411913116,0.965909001030812
"d5_Y_R3",0.961051718069088,0.954366410040239,0.957077770327695,0.972521980495578,0.937605714748178,0.96836779543997,0.957130181491347,0.963213113693738,0.96556560478981,0.977152887888192,0.980365210807573,0.972699583999051,0.977834854548227,0.966156271243724,0.966156271243724,0.971937935161777,0.97064129200108,0.963011246873476,0.989490535657241,0.989026933361784,0.994340194214216,0.994781717410323,1,0.970676504010511,0.972545700373807,0.973924824785614,0.968294427499627
"d7_Old_R1",0.95177356595121,0.947449368535152,0.952783923953859,0.956960217791836,0.907158369336931,0.9532778605928,0.935515038767567,0.958646051448879,0.960904293696487,0.966848997648601,0.969963977699203,0.966219096547002,0.967084298467442,0.957337471371862,0.957337471371862,0.954957053054286,0.95349188440296,0.950570929385406,0.971813433852947,0.972010297709088,0.970331611655168,0.969160758919654,0.970676504010511,1,0.990771880673392,0.96995377051405,0.966793295470922
"d7_Old_R2",0.954365569950958,0.949605790244002,0.955560896347538,0.958731196160518,0.909162400611005,0.955614724338425,0.938340486594276,0.960359539143597,0.962664759291208,0.9675705829074,0.971554994090226,0.966168919605316,0.968377198710572,0.957856104370159,0.957856104370159,0.955781085688433,0.954142191877227,0.950913807443373,0.973773235581576,0.973881908593277,0.972383287019542,0.971401565344255,0.972545700373807,0.990771880673392,1,0.971006781957266,0.968092317052253
"d7_Y_R1",0.94708144496854,0.939417455026395,0.944151190622455,0.960189334584813,0.936171472218257,0.95627788478475,0.946528964302401,0.956612774549,0.957622678277574,0.969274096116683,0.96615670987882,0.958337320184122,0.969570586200846,0.949251692487772,0.949251692487772,0.954640037768579,0.953038716260523,0.945466908847652,0.96304155112442,0.962366409043851,0.965954832780911,0.961317411913116,0.973924824785614,0.96995377051405,0.971006781957266,1,0.963370065827656
"d7_Y_R2",0.946539165349993,0.940956638433916,0.945067158717168,0.955056657702368,0.931817426433362,0.957255523181628,0.94486986196072,0.956882075256968,0.959226773584218,0.958458075287861,0.963586900455676,0.950683279170743,0.959324012300443,0.947740763899152,0.947740763899152,0.947895195849729,0.946671973355772,0.94054654957794,0.957387120511078,0.956815871403683,0.965991304655779,0.965909001030812,0.968294427499627,0.966793295470922,0.968092317052253,0.963370065827656,1
