"","d0_Old_Rep1","d0_Old_Rep2","d0_Old_Rep3","d0_Old_Rep4","d0_Y_Rep4","d1_Old_Rep1","d1_Old_Rep2","d1_Y_Rep1","d1_Y_Rep2","d3_Old_Rep1","d3_Old_Rep2","d3_Old_Rep3","d3_Old_Rep4","d3_Y_Rep1","d3_Y_Rep2","d3_Y_Rep3","d3_Y_Rep4","d5_Old_Rep1","d5_Old_Rep2","d5_Old_Rep3","d5_Old_Rep4","d5_Y_Rep1","d5_Y_Rep2","d5_Y_Rep3","d7_Old_Rep1","d7_Old_Rep2","d7_Y_Rep1"
"d3_Old_Rep2",0.84646137326585,0.824418680471555,0.846468809604646,0.692650947815366,0.782804833604274,0.779871513928915,0.837031623201806,0.790019099113886,0.823209907498733,0.950382101331674,1,0.949741701881225,0.995809819423656,0.923927542846694,0.926387224553226,0.923928164360404,0.926387366465809,0.908541262455866,0.908544785388968,0.908516520594031,0.908524602079925,0.876127578594761,0.882813995115999,0.876140070272275,0.85328575154406,0.853496658672083,0.830946807331133
"d3_Old_Rep3",0.834214661761092,0.805472459638726,0.834221516339555,0.682688834707078,0.791331948374976,0.794415418504159,0.818717623541914,0.819812591972281,0.7628249994388,0.961629936952612,0.949741701881225,1,0.950271289236581,0.925799622963634,0.898103658479419,0.92580039051976,0.898103829152669,0.904950185527378,0.898360526750786,0.904925011568332,0.898340068213764,0.877789043845026,0.856890721814088,0.877801791046199,0.859936597690264,0.822667308807208,0.834542292393524
"d3_Old_Rep4",0.847933347402059,0.825790010288757,0.847939549790261,0.694115936915414,0.784715108538458,0.781216390651108,0.838432626957866,0.791879541010614,0.824806949660911,0.950348810575589,0.995809819423656,0.950271289236581,1,0.924561795409014,0.92695104654538,0.924563034843576,0.926951256789758,0.909627938870073,0.909643315378179,0.909601278996396,0.909621624288406,0.877675780682726,0.884252617997877,0.8776892687418,0.854776213224026,0.854522663570801,0.832650236776078
"d3_Y_Rep1",0.806579671519637,0.748506658971192,0.80659774526501,0.689761524849175,0.858703851888864,0.754179704821704,0.803513216052141,0.825739327087551,0.830697030592271,0.925855401303627,0.923927542846694,0.925799622963634,0.924561795409014,1,0.882679645238486,0.999994550518324,0.882679171992937,0.87100748049969,0.87095385044849,0.871000752711478,0.870947855460174,0.919976754185455,0.899524159877613,0.919980372130534,0.853313576848119,0.837690011620472,0.866803679414967
"d3_Y_Rep2",0.807635376958187,0.817319154584101,0.807645286078172,0.642209750543056,0.796371506979259,0.713682519907289,0.764467759039929,0.830204091119575,0.811145327733149,0.898203302759584,0.926387224553226,0.898103658479419,0.92695104654538,0.882679645238486,1,0.882678837581567,0.999999933474269,0.860257739249721,0.850651220629164,0.860238487166045,0.85063548221912,0.891432438326334,0.908234340485106,0.891442451412747,0.833289981064854,0.809729060544945,0.863057557073298
"d3_Y_Rep3",0.806596912400335,0.748512469664114,0.806593221579509,0.68976748196064,0.858708990791148,0.754164289315825,0.803509317006151,0.825737262478365,0.830694775114511,0.925854650986688,0.923928164360404,0.92580039051976,0.924563034843576,0.999994550518324,0.882678837581567,1,0.882679568546303,0.871016674861022,0.870959126663611,0.870976486915422,0.870926835725265,0.919960431474617,0.899517579914548,0.919981395620803,0.853318403243122,0.837696288598136,0.866807031032966
"d3_Y_Rep4",0.807637346314903,0.817319828445371,0.807644850700405,0.642210483616834,0.796372169719481,0.713680894202462,0.764467409084381,0.830203927910841,0.811145153573271,0.898203305739674,0.926387366465809,0.898103829152669,0.926951256789758,0.882679171992937,0.999999933474269,0.882679568546303,1,0.860258829573962,0.850651881950588,0.860235880524557,0.850633238137911,0.89143072069995,0.908233682292583,0.891442650343778,0.83329059119929,0.809729833008118,0.863057998732928
"d5_Old_Rep1",0.862344184850185,0.836270548845053,0.86233518544193,0.709565690971608,0.808024230922494,0.798701226181955,0.842228971706929,0.821292516936492,0.809360157352904,0.904350301606614,0.908541262455866,0.904950185527378,0.909627938870073,0.87100748049969,0.860257739249721,0.871016674861022,0.860258829573962,1,0.99702135801595,0.99994863784638,0.996980209767433,0.961489512504718,0.954778425150081,0.961515754017335,0.880783723232669,0.86252818760059,0.854483083540467
"d5_Old_Rep2",0.862392027053313,0.833896580395042,0.86239086100883,0.695734923275091,0.808408709137936,0.81051953504539,0.844014125667269,0.805861989783582,0.815139848234687,0.898079253571768,0.908544785388968,0.898360526750786,0.909643315378179,0.87095385044849,0.850651220629164,0.870959126663611,0.850651881950588,0.99702135801595,1,0.996982059340993,0.99996827766079,0.95709471424083,0.949950319402788,0.957114694203906,0.866084784714476,0.859982254749144,0.858858865418113
"d5_Old_Rep3",0.862270545639514,0.836233088074978,0.862328363924783,0.709530004255545,0.807987634043176,0.798729274236696,0.842220498477958,0.821278336962845,0.809346630574642,0.904329792637589,0.908516520594031,0.904925011568332,0.909601278996396,0.871000752711478,0.860238487166045,0.870976486915422,0.860235880524557,0.99994863784638,0.996982059340993,1,0.997021640953861,0.961516245173196,0.954775602479825,0.961489233008987,0.880747349462801,0.862487778430014,0.854451345808635
