,d0_Old,d1_Old,d3_Old,d5_Old,d7_Old,d0_Y,d1_Y,d3_Y,d5_Y,d7_Y
ENSMUSG00000097434,-0.427770442956523,-0.427770442956523,-0.427770442956523,-0.427770442956523,-0.427770442956523,2.62773272101864,-0.427770442956523,-0.427770442956523,-0.427770442956523,0.794430822633543
ENSMUSG00000059632,-0.444478318492315,-0.444478318492315,-0.444478318492315,-0.444478318492315,-0.444478318492315,2.51871047145645,-0.444478318492315,-0.444478318492315,-0.444478318492315,1.03711607648207
ENSMUSG00000026961,-0.48434957497335,-0.48434957497335,-0.48434957497335,-0.48434957497335,-0.48434957497335,2.58713553461375,-0.48434957497335,-0.48434957497335,-0.0118134042676427,0.815124894467345
ENSMUSG00000111438,-0.455633347105799,-0.455633347105799,-0.455633347105799,-0.455633347105799,-0.455633347105799,2.62623677224835,-0.455633347105799,-0.455633347105799,-0.213918043143612,0.777114700635859
ENSMUSG00000024575,-0.406515829642693,-0.406515829642693,-0.406515829642693,-0.406515829642693,-0.406515829642693,2.7749124023436,-0.229769816754565,-0.406515829642693,-0.406515829642693,0.300468221909816
ENSMUSG00000069554,-0.444478318485091,-0.444478318485091,-0.444478318485091,-0.444478318485091,-0.444478318485091,2.73036681355127,-0.444478318485091,-0.323531838474123,-0.20258535483476,0.462620290668156
ENSMUSG00000045813,-0.263591910014233,-0.255033730952616,-0.537453634337566,-0.537453634337566,-0.0239629009103848,2.74888705959639,-0.537453634337566,-0.50322091860459,-0.349173698576436,0.258457002474565
ENSMUSG00000085072,-0.762822929518976,0.0481516134912311,0.0481516134912311,-0.762822929518976,-0.0025342954469069,2.6077900148672,-0.509393384828286,-0.762822929518976,-0.255963840137597,0.352267067120059
ENSMUSG00000045318,-0.9330873096175,0.283181862892474,0.197183032512981,-0.146812289004992,-0.245096666581555,2.45158094317541,-0.847088479238007,-0.695566730392235,-0.630043812171666,0.565749448425094
ENSMUSG00000087480,-0.547586135695014,0.289003793839035,-1.0799615453985,-0.547586135695014,-0.357452060800912,2.20935795026947,-0.0722509484597587,-0.927854285483219,-0.0912643559491689,1.12559372337308
ENSMUSG00000027748,-0.196603665538027,0.279405209389934,-0.740613808484272,-0.272605082636107,-0.236604411417017,2.24744190270017,-0.662612354176245,-0.796614852522855,-0.812615150922452,1.19142221360687
ENSMUSG00000036186,0.0831578206373417,0.25074924440911,-0.429474769676286,-0.354667525160501,-0.786113958646891,2.04525326110754,-0.635629617934904,-1.33412051730904,-0.112848758004823,1.27369482057845
ENSMUSG00000097718,-0.694097676859991,0.250621311123499,-0.308989299521548,-0.110417792518467,-1.24769096899066,2.10094671728857,-0.724184268709808,1.15923638874279,0.24460399260912,-0.670028403163513
ENSMUSG00000087079,-0.491891904209594,-0.697800143171475,-0.697800143171475,-0.285983665247713,-0.697800143171475,2.09912010272741,-0.543368963950065,0.995223155188333,1.01810184817753,-0.697800143171475
ENSMUSG00000095547,-0.49919882676237,-0.556051587798621,-0.556051587798621,-0.503936556848724,-0.556051587798621,2.50925977807259,-0.484985636503307,0.650490340828015,0.552577252408278,-0.556051587798621
ENSMUSG00000095891,-0.516491803695378,-0.578887241852455,-0.623649186627045,-0.151614132640457,-0.578887241852455,2.50663499681419,-0.562610171025331,0.363826443565359,0.744981185406712,-0.60330284809314
ENSMUSG00000016346,-0.4946939646008,0.604625956734312,-0.4946939646008,-0.4946939646008,-0.4946939646008,2.62004581251535,-0.4946939646008,0.238185982955941,-0.4946939646008,-0.4946939646008
ENSMUSG00000101674,-0.531720119926877,0.415899895690565,-0.531720119926877,-0.531720119926877,-0.531720119926877,2.66649743278199,-0.492235952609483,-0.531720119926877,0.205317670524256,-0.136878446752943
ENSMUSG00000019312,0.038810653250736,0.372294785890975,-0.490164177536382,-0.490164177536382,-0.490164177536382,2.72680775604766,-0.369419922656552,-0.490164177536382,-0.386669101925099,-0.421167460462193
ENSMUSG00000086631,-0.529111614261919,-0.529111614261919,0.328907219212534,-0.529111614261919,-0.529111614261919,2.47395430289867,-0.529111614261919,0.900919777722232,-0.529111614261919,-0.529111614261919
ENSMUSG00000109721,-0.435760989296834,-0.435760989296834,-0.435760989296834,-0.435760989296834,-0.435760989296834,2.58104586896373,-0.435760989296834,0.905042045410942,-0.435760989296834,-0.435760989296834
ENSMUSG00000110640,-0.435760989296834,-0.435760989296834,-0.435760989296834,-0.435760989296834,-0.435760989296834,2.58104586896373,-0.435760989296834,0.905042045410942,-0.435760989296834,-0.435760989296834
ENSMUSG00000100955,-0.449056613673242,-0.449056613673242,-0.449056613673242,-0.449056613673242,-0.449056613673242,2.47957347804671,-0.449056613673242,1.11287943133922,-0.449056613673242,-0.449056613673242
ENSMUSG00000109312,-0.414039335975091,-0.414039335975091,-0.414039335975091,-0.414039335975091,-0.414039335975091,2.69125567995647,-0.414039335975091,0.621059007844254,-0.414039335975091,-0.414039335975091
ENSMUSG00000044581,-0.414039334866057,-0.414039334866057,-0.414039334866057,-0.414039334866057,-0.414039334866057,2.69125568439261,-0.414039334866057,0.621058994535847,-0.414039334866057,-0.414039334866057
ENSMUSG00000095929,-0.414039335975091,-0.414039335975091,-0.414039335975091,-0.414039335975091,-0.414039335975091,2.69125567995647,-0.414039335975091,0.621059007844254,-0.414039335975091,-0.414039335975091
ENSMUSG00000081517,-0.377605019720205,-0.377605019720205,-0.377605019720205,-0.377605019720205,-0.377605019720205,2.79427715100453,-0.377605019720205,0.226563006757112,-0.377605019720205,-0.377605019720205
ENSMUSG00000022598,-0.390034936666731,-0.390034936666731,-0.390034936666731,-0.390034936666731,-0.390034936666731,2.76739074111157,-0.390034936666731,0.35288875222228,-0.390034936666731,-0.390034936666731
ENSMUSG00000000562,-0.526162627388969,-0.526162627388969,-0.526162627388969,-0.526162627388969,-0.526162627388969,2.64895667582033,-0.0725741555019267,0.562449705139933,0.0181435388754817,-0.526162627388969
ENSMUSG00000082117,-0.449656386293153,-0.449656386293153,-0.449656386293153,-0.449656386293153,-0.449656386293153,2.73881616642052,-0.449656386293153,0.204389268815777,0.204389268815777,-0.449656386293153
ENSMUSG00000109765,-0.450054781732588,-0.450054781732588,-0.450054781732588,-0.450054781732588,-0.450054781732588,2.75751797169773,-0.30086535134048,0.295892370227951,-0.0522163001896694,-0.450054781732588
ENSMUSG00000109005,-0.765811538799199,-0.68477328072521,-0.765811538799199,-0.320101119392258,-0.0364672161332952,2.63779530030835,0.206647558088673,-0.41464575408204,0.26067306374146,-0.117505474207285
ENSMUSG00000021944,-0.459886632285118,-0.459886632285118,-0.0067963541717012,-0.459886632285118,-0.459886632285118,2.68909080060313,-0.459886632285118,-0.459886632285118,0.536911979564399,-0.459886632285118
ENSMUSG00000097543,-0.424062422280048,-0.424062422280048,-0.424062422280048,-0.424062422280048,-0.424062422280048,2.6467344287134,-0.424062422280048,-0.424062422280048,0.74576494952698,-0.424062422280048
ENSMUSG00000096519,-0.371290666821675,-0.552284294865516,-0.389897488411452,-0.397509369963986,-0.473628185489329,2.57493037630064,-0.502807064774043,-0.241042915845475,0.890590141631284,-0.537060531760448
ENSMUSG00000097312,-0.485447544386776,-0.504426329180739,-0.4973558015124,-0.332128733894363,-0.509264058638024,2.6110714413107,-0.482470480105369,-0.0656814807085212,0.766407985944472,-0.500704998828982
ENSMUSG00000024734,-0.539163011423284,-0.539163011423284,-0.539163011423284,-0.539163011423284,-0.104521044424297,2.73617466846194,-0.182135681388402,-0.27009893682136,0.33012092257469,-0.352887882709433
