GeneID	D0	D1	D3	D5	D7
ENSMUSG00000052889	0.0	0.39375	0.41728395062962964	1.6451612903225807	0.39375
ENSMUSG00000052911	0.35732095262660135	1.7441257774706291	0.21501895866087117	0.34845311409109386	1.7441257774706291
ENSMUSG00000052914	1.7532085246697282	3.2922365245374094	0.552943225355277	0.6974517809376319	3.2922365245374094
ENSMUSG00000052915	0.7283950617283951	1.2315656565656565	2.2466898954703836	0.6280381944444445	1.2315656565656565
ENSMUSG00000052934	0.42096741550091077	0.5535035306898425	0.7788446883127572	0.5332176260746312	0.5535035306898425
ENSMUSG00000052949	0.7102272727272727	0.7614285714285715	2.210526315789474	1.7893333333600001	0.7614285714285715
ENSMUSG00000052957	0.12474336283185841	0.8509335510435893	2.9032008060125554	0.47370995353422074	0.8509335510435893
ENSMUSG00000052962	1.572624914852747	0.32530322040987036	3.7808955544815355	1.2482255120665178	0.32530322040987036
ENSMUSG00000052974	0.9013035381750465	0.36723507917174175	0.49158249151515154	0.6963906582165604	0.36723507917174175
ENSMUSG00000052981	4.142857142857142	7.481481481481481	0.0666666668	0.1471861472077922	7.481481481481481
ENSMUSG00000053040	0.843159922928709	2.0925925925925926	0.37915742793791574	1.8603521554462659	2.0925925925925926
ENSMUSG00000053062	0.1974482439680078	3.251776198934281	0.05398247899895128	0.8176180408752644	3.251776198934281
ENSMUSG00000053063	0.0	2.7072368421052633	0.17674246625623957	3.8606271777003482	2.7072368421052633
ENSMUSG00000053080	0.696136997228196	2.492584745762712	2.0	0.9594272076372313	2.492584745762712
ENSMUSG00000053093	0.09523809523809525	20.0	14.512820512307693	0.9147286822093023	20.0
ENSMUSG00000053094	0.4244263227764081	1.118527192297684	0.6654764738562247	0.4361256425939263	1.118527192297684
ENSMUSG00000053110	0.5685964357228726	2.0954631379962194	0.7122785583384239	0.28214318537082983	2.0954631379962194
ENSMUSG00000053113	0.16894785168149795	2.3068131298162418	0.12739317864836916	0.2886625933468141	2.3068131298162418
ENSMUSG00000053117	0.15643802649819497	8.607142857142858	0.030303030303030304	0.1	8.607142857142858
ENSMUSG00000053128	0.16899058514837326	0.19087764807609164	3.778291586381503	0.8226761755106974	0.19087764807609164
ENSMUSG00000053137	0.20740740742857144	0.40230769230769237	0.5848393574246988	0.5681444991789819	0.40230769230769237
ENSMUSG00000053153	0.0	0.0475	0.0466666667	0.2733333333	0.0475
ENSMUSG00000053175	0.8404029739126303	1.6957495317970848	0.39721624251717724	0.3367610423143855	1.6957495317970848
ENSMUSG00000053181	0.0	0.2261904761904762	5.456790123703704	0.09	0.2261904761904762
ENSMUSG00000053263	0.2051282046153846	12.375	10.66666667	0.2466666667	12.375
ENSMUSG00000053268	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000053279	0.6238479428062821	4.188274932614555	0.1982598059661413	0.673836101279608	4.188274932614555
ENSMUSG00000053286	0.42946812024777004	1.004258943781942	2.4208067940509554	1.1330119621478307	1.004258943781942
ENSMUSG00000053289	0.45675840978348625	0.8562192118226601	2.0271198077548913	0.7563516724547615	0.8562192118226601
ENSMUSG00000053293	0.3482849604221636	0.9176929392446634	4.578231292517007	0.22264899814480507	0.9176929392446634
ENSMUSG00000053297	1.074935400620155	1.7999999999999998	0.3636363636363636	1.4343434345454544	1.7999999999999998
ENSMUSG00000053318	0.0	2.473214285714286	0.06870229007633588	2.103030303	2.473214285714286
ENSMUSG00000053329	0.2672725154351625	1.065433854907539	0.652537722909465	0.4393543428132206	1.065433854907539
ENSMUSG00000053333	0.32103151108742844	1.0157099697885195	3.141158059474179	0.9486061566904478	1.0157099697885195
ENSMUSG00000053334	0.2997198879551821	2.522887323943662	0.4451282051282051	0.684075780860215	2.522887323943662
ENSMUSG00000053398	0.5552718676122931	0.15372734604440252	13.501565887737897	1.4356554426937536	0.15372734604440252
ENSMUSG00000053399	0.015686274352941176	0.1625	0.17204301064516128	0.048964218418079096	0.1625
ENSMUSG00000053411	0.5087357900389106	2.362874779541446	0.6590639106699928	0.40635686984308994	2.362874779541446
ENSMUSG00000053414	0.7440860214838709	1.1003649635036497	6.2681159419565216	0.41921595286879676	1.1003649635036497
